1,1,6,3,1,1,3,1,4,6,6,6,13,13,13,3,4,4,9,9,6,13,13,13,3,4,2,11,9,9,13,13,13,3,4,2,11,11,9,13,13,13,5,5,2,11,12,12,13,13,13,5,5,2,11,12,8,13,13,13,5,10,2,12,12,8,13,13,13,10,10,10,8,8,8,7,7,7,7,10,7
1,1,6,6,6,6,9,9,6,4,1,1,13,13,13,11,9,9,4,1,3,13,13,13,11,11,9,4,4,3,13,13,13,11,12,12,2,4,3,13,13,13,11,12,8,2,3,3,13,13,13,12,12,8,2,5,5,13,13,13,8,8,8,2,5,5,13,13,13,7,7,7,2,10,5,10,10,10,7,10,7
1,1,6,6,6,6,9,9,6,4,1,1,13,13,13,11,9,9,4,1,3,13,13,13,11,11,9,4,4,3,13,13,13,11,12,12,8,4,3,13,13,13,11,12,2,8,3,3,13,13,13,12,12,2,8,8,8,13,13,13,5,5,2,7,7,7,13,13,13,5,5,2,7,10,7,10,10,10,5,10,2
2,10,5,10,10,10,7,10,7,2,5,5,13,13,13,7,7,7,2,5,5,13,13,13,8,8,8,2,3,3,13,13,13,12,12,8,2,4,3,13,13,13,11,12,8,4,4,3,13,13,13,11,12,12,4,1,3,13,13,13,11,11,9,4,1,1,13,13,13,11,9,9,1,1,6,6,6,6,9,9,6
2,10,5,10,10,10,7,10,7,2,5,5,13,13,13,7,7,7,2,5,5,13,13,13,8,8,8,2,12,12,13,13,13,3,3,8,2,12,11,13,13,13,3,4,8,12,12,11,13,13,13,3,4,4,9,11,11,13,13,13,3,1,4,9,9,11,13,13,13,1,1,4,6,9,9,6,6,6,6,1,1
3,1,4,3,1,1,1,1,6,3,4,4,13,13,13,6,6,6,3,4,2,13,13,13,9,9,6,3,4,2,13,13,13,11,9,9,5,5,2,13,13,13,11,11,9,5,5,2,13,13,13,11,12,12,5,10,2,13,13,13,11,12,8,10,10,10,13,13,13,12,12,8,7,10,7,7,7,7,8,8,8
4,1,3,1,1,3,6,1,1,4,4,3,13,13,13,6,6,6,2,4,3,13,13,13,6,9,9,2,4,3,13,13,13,9,9,11,2,5,5,13,13,13,9,11,11,2,5,5,13,13,13,12,12,11,2,10,5,13,13,13,8,12,11,10,10,10,13,13,13,8,12,12,7,10,7,7,7,7,8,8,8
5,10,2,10,10,10,7,10,7,5,5,2,13,13,13,7,7,7,5,5,2,13,13,13,8,8,8,3,3,2,13,13,13,8,12,12,3,4,2,13,13,13,8,12,11,3,4,4,13,13,13,12,12,11,3,1,4,13,13,13,9,11,11,1,1,4,13,13,13,9,9,11,6,1,1,6,6,6,6,9,9
5,10,2,10,10,10,7,10,7,5,5,2,13,13,13,7,7,7,5,5,2,13,13,13,8,8,8,12,12,2,13,13,13,8,3,3,11,12,2,13,13,13,8,4,3,11,12,12,13,13,13,4,4,3,11,11,9,13,13,13,4,1,3,11,9,9,13,13,13,4,1,1,9,9,6,6,6,6,1,1,6
6,1,1,6,6,6,6,9,9,1,1,4,13,13,13,9,9,11,3,1,4,13,13,13,9,11,11,3,4,4,13,13,13,12,12,11,3,4,2,13,13,13,8,12,11,3,3,2,13,13,13,8,12,12,5,5,2,13,13,13,8,8,8,5,5,2,13,13,13,7,7,7,5,10,2,10,10,10,7,10,7
