1,5,1,2,3,3,5,5,1,2,1,3,5,5,1,2,6,3,6,4,6,2,6,3,9,4,9,2,6,11,4,4,9,11,9,11,4,12,10,12,9,11,10,8,10,12,10,11,7,8,10,12,7,12,7,8,7,8,7,8
1,5,1,5,3,3,2,5,1,5,1,3,2,9,1,5,4,3,2,9,4,9,4,3,2,6,4,9,11,9,2,6,4,6,11,6,12,6,12,10,11,11,8,10,12,10,11,10,8,7,12,10,12,7,8,7,8,7,8,7
1,5,5,5,5,5,1,2,1,3,1,11,6,2,1,3,11,11,6,2,6,3,6,11,6,2,3,3,4,11,12,2,12,9,4,9,8,9,12,9,4,4,8,9,12,10,12,4,8,10,8,10,8,10,7,7,7,10,7,7
1,5,5,5,5,5,1,8,1,8,1,8,4,12,1,12,9,8,4,4,9,12,9,8,9,4,9,12,2,12,11,4,3,3,2,6,11,6,3,6,2,6,11,11,3,10,2,6,11,10,3,10,2,10,7,7,7,10,7,7
1,5,5,5,5,5,1,8,1,8,1,8,9,8,1,12,4,12,9,8,9,12,4,4,2,12,9,12,9,4,2,6,3,3,11,4,2,6,3,6,11,6,2,6,3,10,11,11,2,10,3,10,11,10,7,7,7,10,7,7
1,5,5,5,5,5,1,11,1,3,1,2,11,11,1,3,6,2,6,11,6,3,6,2,4,11,3,3,6,2,4,9,12,9,12,2,4,4,12,9,8,9,12,4,12,10,8,9,8,10,8,10,8,10,7,7,7,10,7,7
2,8,3,8,3,8,2,8,3,12,4,12,2,8,3,12,4,4,2,12,3,12,9,4,2,1,9,1,9,4,9,11,9,1,6,1,6,11,6,1,6,5,11,11,10,5,6,5,10,11,10,5,10,5,7,7,10,7,7,7
2,8,11,8,5,8,2,8,11,11,5,5,2,8,11,1,5,5,2,1,11,1,9,1,2,1,9,4,9,3,9,4,9,4,12,3,12,4,12,6,12,3,12,4,10,6,3,3,10,6,10,6,10,6,7,7,10,7,7,7
3,3,2,1,5,5,3,1,2,1,5,5,3,6,2,1,5,1,3,6,2,6,4,6,11,6,2,9,4,9,11,9,11,9,4,4,11,9,12,10,12,4,11,10,12,10,8,10,12,7,12,10,8,7,8,7,8,7,8,7
3,3,2,1,5,1,3,1,2,1,5,5,3,6,2,1,5,5,3,6,2,6,4,6,11,6,2,9,4,9,11,9,11,9,4,4,11,9,12,10,12,4,11,10,12,10,8,10,12,7,12,10,8,7,8,7,8,7,8,7
3,3,2,10,7,7,3,10,2,10,7,10,3,6,2,10,7,7,3,6,2,6,4,6,11,6,2,9,4,9,11,9,11,9,4,4,11,9,12,1,12,4,11,1,12,1,8,1,12,1,12,5,8,5,8,5,8,5,8,5
3,3,2,10,7,7,3,10,2,10,7,10,3,6,2,10,7,7,3,6,2,6,4,6,11,6,2,9,4,9,11,9,11,9,4,4,11,9,12,1,12,4,11,1,12,1,8,1,12,5,12,5,8,1,8,5,8,5,8,5
3,3,5,1,5,1,3,1,5,1,5,2,3,4,5,1,9,2,3,4,9,4,9,2,9,11,9,4,6,2,6,11,6,4,6,2,11,11,10,12,6,12,10,11,10,12,10,8,7,12,10,12,7,8,7,8,7,8,7,8
3,3,1,2,5,5,1,3,1,2,5,5,6,3,1,2,1,5,6,3,6,2,6,4,6,11,9,2,9,4,9,11,9,11,4,4,9,11,10,12,4,12,10,11,10,12,10,8,7,12,10,12,7,8,7,8,7,8,7,8
3,3,1,2,1,5,1,3,1,2,5,5,6,3,1,2,5,5,6,3,6,2,6,4,6,11,9,2,9,4,9,11,9,11,4,4,9,11,10,12,4,12,10,11,10,12,10,8,7,12,10,12,7,8,7,8,7,8,7,8
3,3,1,5,1,5,1,3,1,5,2,5,4,3,1,5,2,9,4,3,4,9,2,9,11,9,4,9,2,6,11,6,4,6,2,6,11,11,12,10,12,6,11,10,12,10,8,10,12,7,12,10,8,7,8,7,8,7,8,7
